City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kahului,US,2020-04-16 08:11:52,20.89,-156.47,73.4,69,1,8.05
70,Sorong,ID,2020-04-16 08:10:34,-0.88,131.25,81.39,80,57,3.31
71,Alofi,NU,2020-04-16 08:12:06,-19.06,-169.92,75.2,88,95,3.36
72,Albany,US,2020-04-16 08:10:26,42.6,-73.97,35.01,80,90,4.7
73,Buique,BR,2020-04-16 08:13:38,-8.62,-37.16,66.72,77,54,2.1
74,Ganzhou,CN,2020-04-16 08:13:38,28.82,115.43,81.55,49,0,8.08
75,Nanortalik,GL,2020-04-16 08:11:33,60.14,-45.24,31.1,97,85,4.23
76,Pilar,BR,2020-04-16 08:13:39,-9.6,-35.96,75.2,89,96,1.66
77,Aklavik,CA,2020-04-16 08:11:00,68.22,-135.01,37.4,69,90,8.05
78,Ushuaia,AR,2020-04-16 08:10:28,-54.8,-68.3,46.4,75,56,3.36
79,Hobart,AU,2020-04-16 08:06:44,-42.88,147.33,55.4,47,20,17.22
80,Port Elizabeth,ZA,2020-04-16 08:10:16,-33.92,25.57,64.4,77,93,14.99
81,Tasiilaq,GL,2020-04-16 08:11:23,65.61,-37.64,30.2,92,100,20.8
82,Kaputa,ZM,2020-04-16 08:13:41,-8.47,29.66,80.64,50,16,4.32
83,Kissidougou,GN,2020-04-16 08:13:41,9.18,-10.1,79.88,56,9,6.58
84,Carbonia,IT,2020-04-16 08:13:42,39.17,8.52,64.0,55,64,5.82
85,Marrakesh,MA,2020-04-16 08:13:42,31.63,-8.01,60.8,63,20,4.7
86,Kapit,MY,2020-04-16 08:11:37,2.02,112.93,84.0,84,100,2.33
87,Goundam,ML,2020-04-16 08:13:43,16.41,-3.67,86.14,34,56,10.51
88,Palafrugell,ES,2020-04-16 08:13:44,41.92,3.16,60.01,93,90,4.7
89,Arraial Do Cabo,BR,2020-04-16 08:09:35,-22.97,-42.03,74.75,84,100,7.27
90,Alta Floresta,BR,2020-04-16 08:13:45,-9.88,-56.09,69.66,91,99,1.79
91,Khatanga,RU,2020-04-16 08:10:32,71.97,102.5,10.11,92,0,10.0
92,Guilin,CN,2020-04-16 08:13:45,25.28,110.29,75.2,73,90,2.24
93,Ambilobe,MG,2020-04-16 08:13:45,-13.2,49.05,89.62,49,58,11.65
94,Rafaela,AR,2020-04-16 08:13:46,-31.25,-61.49,55.0,52,0,4.79
95,Busselton,AU,2020-04-16 08:06:18,-33.65,115.33,70.0,32,1,14.29
96,Zhigansk,RU,2020-04-16 08:12:05,66.77,123.37,10.13,89,72,20.13
97,Vao,NC,2020-04-16 08:12:47,-22.67,167.48,74.48,77,12,15.19
98,Belaya Gora,RU,2020-04-16 08:13:47,68.53,146.42,5.38,93,100,10.38
99,Qaanaaq,GL,2020-04-16 08:11:00,77.48,-69.36,6.64,80,4,8.9
100,Ibimirim,BR,2020-04-16 08:13:47,-8.54,-37.69,72.54,74,76,4.14
101,Touros,BR,2020-04-16 08:12:00,-5.2,-35.46,75.2,100,75,3.36
102,Walvis Bay,NA,2020-04-16 08:13:48,-22.96,14.51,59.0,87,0,8.05
103,Karatau,KZ,2020-04-16 08:13:48,43.17,70.47,59.52,41,31,11.36
104,Husavik,IS,2020-04-16 08:12:07,66.04,-17.34,37.4,64,98,20.8
105,Jakar,BT,2020-04-16 08:13:49,27.55,90.75,55.69,33,85,5.68
106,Beloha,MG,2020-04-16 08:10:28,-25.17,45.05,90.54,35,0,2.48
107,Kaitangata,NZ,2020-04-16 08:10:59,-46.28,169.85,50.0,69,100,11.01
108,East London,ZA,2020-04-16 08:10:55,-33.02,27.91,68.0,68,46,8.05
109,Tessalit,ML,2020-04-16 08:13:51,20.2,1.01,91.63,16,46,14.05
110,Ahipara,NZ,2020-04-16 08:11:33,-35.17,173.17,62.78,80,39,14.79
111,Yar-Sale,RU,2020-04-16 08:13:52,66.83,70.83,22.05,93,21,11.3
112,Chililabombwe,ZM,2020-04-16 08:13:52,-12.36,27.82,76.5,47,35,7.0
113,Samarai,PG,2020-04-16 08:13:53,-10.62,150.67,81.05,82,68,8.01
114,Kigali,RW,2020-04-16 08:10:50,-1.95,30.06,71.6,78,40,3.24
115,Yerbogachen,RU,2020-04-16 08:10:33,61.28,108.01,33.62,80,100,10.33
116,Ancud,CL,2020-04-16 08:11:07,-41.87,-73.82,53.6,100,90,12.75
117,Bridlington,GB,2020-04-16 08:13:54,54.08,-0.19,55.0,76,23,4.7
118,Grindavik,IS,2020-04-16 08:10:42,63.84,-22.43,39.2,93,75,9.17
119,Petropavlovsk-Kamchatskiy,RU,2020-04-16 08:09:27,53.05,158.65,41.0,60,100,11.18
120,Xunchang,CN,2020-04-16 08:13:55,28.45,104.72,82.54,36,2,6.62
121,Te Anau,NZ,2020-04-16 08:10:38,-45.42,167.72,45.93,68,100,6.29
122,Puerto Del Rosario,ES,2020-04-16 08:11:36,28.5,-13.86,64.4,72,67,8.05
123,Nyurba,RU,2020-04-16 08:13:55,63.28,118.33,23.16,87,100,8.55
124,Castro,BR,2020-04-16 08:11:03,-24.79,-50.01,42.67,53,0,2.37
125,Zhezkazgan,KZ,2020-04-16 08:13:56,47.8,67.71,60.8,25,0,13.42
126,Det Udom,TH,2020-04-16 08:10:43,14.91,105.08,102.99,44,20,5.82
127,Dikson,RU,2020-04-16 08:10:40,73.51,80.55,13.21,91,0,7.78
128,Kuala Terengganu,MY,2020-04-16 08:13:57,5.33,103.14,89.6,70,20,6.93
129,Senneterre,CA,2020-04-16 08:13:57,48.38,-77.23,21.2,79,75,5.82
130,Cabo San Lucas,MX,2020-04-16 08:08:54,22.89,-109.91,66.99,60,93,8.03
131,Pangnirtung,CA,2020-04-16 08:13:58,66.15,-65.71,14.29,86,100,7.87
132,Chokurdakh,RU,2020-04-16 08:06:45,70.63,147.92,-1.46,93,99,8.28
133,Verkhnevilyuysk,RU,2020-04-16 08:12:06,63.45,120.32,20.55,87,100,8.93
134,Boyle,US,2020-04-16 08:13:58,37.63,-84.87,37.0,86,1,2.57
135,Alekseyevsk,RU,2020-04-16 08:13:59,57.84,108.35,53.85,57,37,4.61
136,Price,US,2020-04-16 08:09:50,39.6,-110.81,37.99,86,75,8.05
137,Camacha,PT,2020-04-16 08:10:15,33.08,-16.33,62.6,67,20,14.99
138,Shahr-E Kord,IR,2020-04-16 08:13:59,32.33,50.86,59.0,33,20,4.7
139,Lompoc,US,2020-04-16 08:07:50,34.64,-120.46,57.2,87,90,3.36
140,Menongue,AO,2020-04-16 08:11:17,-14.66,17.69,79.14,38,21,5.82
141,Nikolskoye,RU,2020-04-16 08:10:40,59.7,30.79,39.99,93,90,8.95
142,Riyadh,SA,2020-04-16 08:11:01,24.69,46.72,75.2,57,3,2.24
143,Aguas Vermelhas,BR,2020-04-16 08:14:01,-15.75,-41.46,64.45,78,94,2.08
144,Cilegon,ID,2020-04-16 08:14:01,-6.02,106.05,89.6,62,20,11.41
145,Along,IN,2020-04-16 08:14:02,28.17,94.77,84.87,36,99,5.17
146,Saint-Philippe,RE,2020-04-16 08:10:41,-21.36,55.77,84.2,65,0,27.51
147,Flinders,AU,2020-04-16 08:09:57,-34.58,150.86,82.4,37,54,5.82
148,Sokolo,ML,2020-04-16 08:14:03,14.73,-6.12,84.33,41,80,7.87
149,Chapais,CA,2020-04-16 08:14:03,49.78,-74.85,10.4,66,1,5.82
150,Guerrero Negro,MX,2020-04-16 08:10:41,27.98,-114.06,62.98,65,55,9.48
151,Mahebourg,MU,2020-04-16 08:10:28,-20.41,57.7,82.4,65,75,11.41
152,Bilma,NE,2020-04-16 08:11:25,18.69,12.92,95.31,8,11,13.6
153,Pevek,RU,2020-04-16 08:10:39,69.7,170.31,11.17,96,100,2.48
154,Egvekinot,RU,2020-04-16 08:14:04,66.32,-179.17,18.81,95,100,9.06
155,Naranjal,EC,2020-04-16 08:14:05,-2.67,-79.62,78.01,91,99,1.99
156,Parnarama,BR,2020-04-16 08:14:05,-5.68,-43.09,71.49,94,100,3.04
157,Kargil,IN,2020-04-16 08:14:05,34.57,76.1,42.1,15,100,5.59
158,Hithadhoo,MV,2020-04-16 08:09:15,-0.6,73.08,85.26,68,53,5.64
159,Muros,ES,2020-04-16 08:14:06,42.78,-9.06,57.99,87,40,9.17
160,Avera,US,2020-04-16 08:14:06,33.19,-82.53,53.6,70,1,3.74
161,Evensk,RU,2020-04-16 08:14:07,61.95,159.23,14.67,90,0,5.46
162,Bandarbeyla,SO,2020-04-16 08:14:07,9.49,50.81,86.99,56,6,7.49
163,Mataura,NZ,2020-04-16 08:10:28,-46.19,168.86,50.0,81,100,11.01
164,Bauchi,NG,2020-04-16 08:14:08,10.5,10.0,94.24,8,0,10.65
165,Ketchikan,US,2020-04-16 08:14:09,55.34,-131.65,44.6,93,1,6.93
166,Ilulissat,GL,2020-04-16 08:10:35,69.22,-51.1,28.4,86,100,5.93
167,Talnakh,RU,2020-04-16 08:12:46,69.49,88.4,14.0,61,4,15.66
168,Casambalangan,PH,2020-04-16 08:14:10,18.38,122.13,79.95,78,83,14.63
169,Togur,RU,2020-04-16 08:14:11,58.36,82.83,43.05,72,97,10.47
170,Sorland,NO,2020-04-16 08:10:25,67.67,12.69,35.6,74,40,8.05
171,Soyo,AO,2020-04-16 08:14:12,-6.13,12.37,78.8,94,75,2.24
172,Los Llanos De Aridane,ES,2020-04-16 08:11:03,28.66,-17.92,68.0,72,40,6.93
173,Oriximina,BR,2020-04-16 08:14:12,-1.77,-55.87,72.48,95,98,3.51
174,Manavalakurichi,IN,2020-04-16 08:14:13,8.13,77.3,91.4,59,20,6.93
175,Albi,FR,2020-04-16 08:09:41,43.93,2.15,62.01,62,10,29.97
176,Tuktoyaktuk,CA,2020-04-16 08:10:43,69.45,-133.04,26.94,98,100,9.24
177,Lanxi,CN,2020-04-16 08:11:50,29.22,119.48,81.18,49,5,1.39
178,Yunyang,CN,2020-04-16 08:14:14,33.45,112.71,78.01,17,89,12.01
179,Nishihara,JP,2020-04-16 08:14:15,26.18,127.76,71.6,49,20,10.29
180,Raga,SS,2020-04-16 08:14:15,8.46,25.68,94.77,8,0,8.37
181,Puerto Colombia,CO,2020-04-16 08:14:16,10.99,-74.95,78.8,88,80,6.93
182,Katsuura,JP,2020-04-16 08:11:42,35.13,140.3,57.99,71,75,18.34
183,Mazamari,PE,2020-04-16 08:14:16,-11.33,-74.53,69.49,63,91,1.54
184,Flin Flon,CA,2020-04-16 08:14:17,54.77,-101.86,9.64,92,0,5.97
185,Diamantino,BR,2020-04-16 08:11:23,-14.41,-56.45,67.28,70,41,3.6
186,Sungaipenuh,ID,2020-04-16 08:14:18,-2.08,101.38,74.52,68,100,1.83
187,Baculin,PH,2020-04-16 08:14:18,7.45,126.58,83.46,71,35,7.67
188,Jumla,NP,2020-04-16 08:10:05,29.27,82.18,61.0,92,75,3.0
189,Quang Ngai,VN,2020-04-16 08:10:05,15.12,108.8,80.56,75,93,8.59
